model,version,location,page_url,url
cpe510,v1,de,https://www.tp-link.com/de/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.1.0_150401.zip
cpe510,v1,de,https://www.tp-link.com/de/support/download/cpe510/v1/,https://static.tp-link.com/resources/software/TP_PharOS_1.0.0_140709.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v1,uk,https://www.tp-link.com/uk/support/download/cpe510/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v2,au,https://www.tp-link.com/au/support/download/cpe510/v2/,https://static.tp-link.com/TP_PharOS_2.0.0_170301-.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(UN)_V2_180117.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,en,https://www.tp-link.com/en/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v2,us,https://www.tp-link.com/us/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(US)_V2_180117.zip
cpe510,v2,us,https://www.tp-link.com/us/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,de,https://www.tp-link.com/de/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(EU)_V2_180117.zip
cpe510,v2,de,https://www.tp-link.com/de/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,de,https://www.tp-link.com/de/support/download/cpe510/v2/,https://static.tp-link.com/TP_PharOS_2.0.0_161117.zip
cpe510,v2,uk,https://www.tp-link.com/uk/support/download/cpe510/v2/,https://static.tp-link.com/2018/201802/20180213/CPE510(EU)_V2_180117.zip
cpe510,v2,uk,https://www.tp-link.com/uk/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe510,v2,uk,https://www.tp-link.com/uk/support/download/cpe510/v2/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe510,v3,au,https://www.tp-link.com/au/support/download/cpe510/v3/,https://static.tp-link.com/2020/202007/20200714/CPE510(UN)_V3.0_2.2.2 Build 200516.zip
cpe510,v3,au,https://www.tp-link.com/au/support/download/cpe510/v3/,https://static.tp-link.com/2019/201902/20190228/CPE510(UN)_v3.0_20190125.zip
cpe510,v3,au,https://www.tp-link.com/au/support/download/cpe510/v3/,https://static.tp-link.com/2018/201801/20180126/CPE510(UN)_v3.0_20171228.zip
cpe510,v3,en,https://www.tp-link.com/en/support/download/cpe510/v3/,https://static.tp-link.com/2020/202012/20201216/CPE510(UN)_v3.0_20201028.zip
cpe510,v3,en,https://www.tp-link.com/en/support/download/cpe510/v3/,https://static.tp-link.com/2020/202007/20200714/CPE510(UN)_V3.0_2.2.2 Build 200516.zip
cpe510,v3,en,https://www.tp-link.com/en/support/download/cpe510/v3/,https://static.tp-link.com/2019/201902/20190228/CPE510(UN)_v3.0_20190125.zip
cpe510,v3,us,https://www.tp-link.com/us/support/download/cpe510/v3/,https://static.tp-link.com/2020/202012/20201216/CPE510(UN)_v3.0_20201028.zip
cpe510,v3,us,https://www.tp-link.com/us/support/download/cpe510/v3/,https://static.tp-link.com/2020/202007/20200714/CPE510(UN)_V3.0_2.2.2 Build 200516.zip
cpe510,v3,us,https://www.tp-link.com/us/support/download/cpe510/v3/,https://static.tp-link.com/2019/201906/20190612/CPE510_v3.0_20190125.zip
cpe510,v3,de,https://www.tp-link.com/de/support/download/cpe510/v3/,https://static.tp-link.com/2020/202012/20201216/CPE510(UN)_v3.0_20201028.zip
cpe510,v3,de,https://www.tp-link.com/de/support/download/cpe510/v3/,https://static.tp-link.com/2020/202007/20200714/CPE510(UN)_V3.0_2.2.2 Build 200516.zip
cpe510,v3,de,https://www.tp-link.com/de/support/download/cpe510/v3/,https://static.tp-link.com/2019/201902/20190228/CPE510(EU)_v3.0_20190125.zip
cpe510,v3,uk,https://www.tp-link.com/uk/support/download/cpe510/v3/,https://static.tp-link.com/2019/201902/20190228/CPE510(EU)_v3.0_20190125.zip
cpe520,v1,au,https://www.tp-link.com/au/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe520,v1,au,https://www.tp-link.com/au/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe520,v1,au,https://www.tp-link.com/au/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe520,v1,en,https://www.tp-link.com/en/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe520,v1,en,https://www.tp-link.com/en/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe520,v1,en,https://www.tp-link.com/en/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe520,v1,us,https://www.tp-link.com/us/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
cpe520,v1,us,https://www.tp-link.com/us/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_151215.zip
cpe520,v1,de,https://www.tp-link.com/de/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.6_20170908.zip
cpe520,v1,de,https://www.tp-link.com/de/support/download/cpe520/v1/,https://static.tp-link.com/Pharos_v2.1.0_170609.zip
cpe520,v1,uk,https://www.tp-link.com/uk/support/download/cpe520/v1/,https://static.tp-link.com/res/down/soft/TP_PharOS_1.3.3_160705.zip
